id,date,time,severity,casualties,number_of_casualties,number_of_vehicles,latitude,longitude
200101LX00360,2001-03-09,22:08:00,fatal,Pedestrian,1,1,51.425685,-0.105065
200101LX00380,2001-03-12,18:05:00,fatal,Motorcycle rider/passenger,2,2,51.4456,-0.124388
200101LX00477,2001-04-02,01:34:00,fatal,Motorcycle rider/passenger,1,1,51.429766,-0.101588
200101LX00737,2001-05-16,16:20:00,fatal,Cyclist,Goods vehicle occupant,2,2,51.48659,-0.117665
200101LX01140,2001-07-24,14:20:00,fatal,Pedestrian,1,1,51.43978,-0.125922
200101LX01272,2001-08-06,15:32:00,fatal,Motorcycle rider/passenger,1,1,51.458942,-0.10959
200101LX01273,2001-08-12,21:18:00,fatal,Car occupant,2,5,51.453165,-0.136313
200101LX01340,2001-08-21,12:45:00,fatal,Pedestrian,1,1,51.441046,-0.092918
200101LX01501,2001-09-17,22:25:00,fatal,Motorcycle rider/passenger,1,2,51.471902,-0.099119
200101LX01602,2001-10-08,10:33:00,fatal,Pedestrian,1,1,51.438796,-0.12625
200101LX01855,2001-11-19,08:20:00,fatal,Car occupant,Motorcycle rider/passenger,2,3,51.416487,-0.125868
200101MM00014,2001-01-03,13:23:00,fatal,Pedestrian,1,1,51.492122,-0.065289
200101MM00057,2001-01-14,19:00:00,fatal,Pedestrian,Motorcycle rider/passenger,2,2,51.448284,-0.073619
200101MM00116,2001-01-22,18:56:00,fatal,Pedestrian,1,1,51.498813,-0.106068
200101MM00622,2001-05-22,13:07:00,fatal,Pedestrian,Bus/coach/minibus occupant,2,1,51.461298,-0.066593
200101MM01005,2001-08-08,00:32:00,fatal,Car occupant,Motorcycle rider/passenger,2,2,51.473628,-0.089111
200101MM01010,2001-08-10,01:24:00,fatal,Car occupant,4,2,51.486848,-0.078187
200101MM01146,2001-09-18,08:54:00,fatal,Motorcycle rider/passenger,1,2,51.505054,-0.097163
200101MM01501,2001-11-21,20:45:00,fatal,Motorcycle rider/passenger,1,2,51.485783,-0.057203
200101MM01519,2001-11-12,14:47:00,fatal,Pedestrian,1,1,51.470604,-0.069223
200101NI00390,2001-03-14,01:50:00,fatal,Motorcycle rider/passenger,1,3,51.565239,-0.109801
200101NI00959,2001-08-12,01:01:00,fatal,Car occupant,Motorcycle rider/passenger,2,2,51.52699,-0.096825
200101NI00974,2001-08-17,01:16:00,fatal,Pedestrian,1,1,51.546794,-0.098018
200101NI01177,2001-10-15,12:12:00,fatal,Cyclist,1,2,51.522119,-0.106975
200101NI01337,2001-11-23,17:40:00,fatal,Motorcycle rider/passenger,1,2,51.569244,-0.140948
200101NI01439,2001-12-15,23:20:00,fatal,Car occupant,Bus/coach/minibus occupant,4,3,51.552177,-0.1252
200101NI01458,2001-12-17,12:20:00,fatal,Pedestrian,1,1,51.558401,-0.12076
200101PL00058,2001-01-23,21:02:00,fatal,Car occupant,2,2,51.457245,0.008664
200101PL00160,2001-02-08,16:20:00,fatal,Pedestrian,1,1,51.426891,-0.074231
200101PL00455,2001-05-09,22:50:00,fatal,Pedestrian,1,1,51.445496,-0.019625
200101PL00613,2001-06-22,01:13:00,fatal,Car occupant,3,1,51.476037,-0.022911
200101PL00633,2001-06-25,10:31:00,fatal,Pedestrian,1,1,51.435385,-0.044091
200101PL00894,2001-08-25,18:04:00,fatal,Pedestrian,1,1,51.456917,-0.035685
200101PL00938,2001-09-07,18:20:00,fatal,Pedestrian,1,1,51.47531,-0.038495
200101PL00939,2001-09-10,03:28:00,fatal,Bus/coach/minibus occupant,1,1,51.464479,-0.014772
200101PL01122,2001-10-24,21:30:00,fatal,Motorcycle rider/passenger,1,2,51.475619,-0.035458
200101PL01154,2001-11-03,06:34:00,fatal,Car occupant,2,2,51.484253,-0.046321
200101PL01298,2001-12-15,04:12:00,fatal,Motorcycle rider/passenger,1,2,51.445693,0.011036
200101PY00263,2001-03-16,21:24:00,fatal,Bus/coach/minibus occupant,2,1,51.414208,0.016844
200101PY00289,2001-03-25,13:45:00,fatal,Car occupant,Motorcycle rider/passenger,2,2,51.410509,-0.030054
200101PY00408,2001-04-24,18:48:00,fatal,Cyclist,1,3,51.386522,0.010883
200101PY00409,2001-04-19,11:40:00,fatal,Pedestrian,Car occupant,2,1,51.410036,-0.023315
200101PY00547,2001-05-25,11:30:00,fatal,Car occupant,Motorcycle rider/passenger,2,2,51.343703,0.032414
200101PY00704,2001-07-21,14:40:00,fatal,Motorcycle rider/passenger,1,2,51.417315,0.003461
200101PY01169,2001-12-05,14:35:00,fatal,Pedestrian,1,1,51.41015,-0.046175
200101PY01191,2001-12-23,18:20:00,fatal,Car occupant,Motorcycle rider/passenger,2,2,51.406994,0.017964
200101QA00529,2001-05-20,09:15:00,fatal,Cyclist,1,2,51.585064,-0.282054
200101QD00229,2001-05-08,17:20:00,fatal,Car occupant,5,2,51.541676,-0.303734
200101QD00354,2001-07-13,23:13:00,fatal,Car occupant,2,1,51.549533,-0.263055
200101QK00457,2001-08-04,01:15:00,fatal,Pedestrian,1,1,51.533931,-0.241877
200101QK00932,2001-12-10,03:55:00,fatal,Car occupant,1,3,51.5564,-0.253128
200101RG00008,2001-01-10,12:23:00,fatal,Motorcycle rider/passenger,1,2,51.489839,0.022053
